artist_id,common_name,wiki_url,language_count
306,Motörhead,https://en.wikipedia.org/wiki/Motörhead,135.0
307,Misfits,https://en.wikipedia.org/wiki/Misfits_(band),34.0
308,Discharge,,
310,Black Sabbath,,
311,Holocaust,,
312,Anti-Nowhere League,,
316,Lisa Stansfield,https://en.wikipedia.org/wiki/Lisa_Stansfield,30.0
318,Laid Back,https://en.wikipedia.org/wiki/Laid_Back,16.0
319,Frank Sinatra,https://en.wikipedia.org/wiki/Frank_Sinatra,104.0
320,Nat King Cole,https://en.wikipedia.org/wiki/Nat_King_Cole,70.0
322,Quicksilver Messenger Service,,
324,John Hammond,,
325,Ronnie Hawkins,,
326,Carlos Santana,https://en.wikipedia.org/wiki/Carlos_Santana,66.0
327,Chuck Berry,,
329,Soft Cell,,
330,David Gray,https://en.wikipedia.org/wiki/David_Gray_(British_musician),26.0
331,Marvin Gaye,https://en.wikipedia.org/wiki/Marvin_Gaye,70.0
334,The Verve,https://en.wikipedia.org/wiki/The_Verve,41.0
335,Johnny Winter,,
336,3rd Bass,,
337,The King's Singers,,
339,Lisa Lisa,,
340,Allure,,
341,Hank Shizzoe,,
343,J.J. Cale,,
344,Gloria Gaynor,https://en.wikipedia.org/wiki/Gloria_Gaynor,54.0
345,Gheorghe Zamfir,,
346,The Shadows,,
347,"""""Weird Al"""" Yankovic","https://en.wikipedia.org/wiki/""Weird_Al""_Yankovic",83.0
349,The Everly Brothers,https://en.wikipedia.org/wiki/The_Everly_Brothers,46.0
350,Nana Mouskouri,,
353,Norah Jones,https://en.wikipedia.org/wiki/Norah_Jones,68.0
354,Ellie Greenwich,https://en.wikipedia.org/wiki/Ellie_Greenwich,20.0
357,Joanie Sommers,,
358,Elkie Brooks,,
359,New Atlantic,,
360,Iggy Pop,,
361,Pixies,https://en.wikipedia.org/wiki/Pixies_(band),49.0
363,The Surfaris,https://en.wikipedia.org/wiki/The_Surfaris,11.0
364,Ant Trip Ceremony,,
365,Band of Joy,,
367,Marilyn Manson,https://en.wikipedia.org/wiki/Marilyn_Manson,75.0
368,Eurythmics,https://en.wikipedia.org/wiki/Eurythmics,47.0
369,Maria Bello,,
371,Faith Evans,https://en.wikipedia.org/wiki/Faith_Evans,29.0
372,King Crimson,https://en.wikipedia.org/wiki/King_Crimson,52.0
373,April Wine,,
374,Queen,https://en.wikipedia.org/wiki/Queen_(band),177.0
375,Pretty Maids,https://en.wikipedia.org/wiki/Pretty_Maids,14.0
376,Love Life,,
377,Status Quo,https://en.wikipedia.org/wiki/Status_Quo_(band),43.0
378,Great White,https://en.wikipedia.org/wiki/Great_White,14.0
380,The Kinks,https://en.wikipedia.org/wiki/The_Kinks,60.0
381,Praying Mantis,,
382,Mott the Hoople,https://en.wikipedia.org/wiki/Mott_the_Hoople,29.0
383,Angel,,
384,Bruce Dickinson,https://en.wikipedia.org/wiki/Bruce_Dickinson,62.0
385,The Guess Who,,
386,Krokus,,
387,Lenny Kravitz,https://en.wikipedia.org/wiki/Lenny_Kravitz,63.0
388,Otis Redding,,
389,Helen Shapiro,,
390,The Stranglers,https://en.wikipedia.org/wiki/The_Stranglers,24.0
391,Hooverphonic,https://en.wikipedia.org/wiki/Hooverphonic,35.0
392,Cilla Black,,
393,Laibach,https://en.wikipedia.org/wiki/Laibach,38.0
394,10cc,https://en.wikipedia.org/wiki/10cc,31.0
395,Sloan Wainwright,,
396,Fiona Apple,,
397,Texas,,
398,Duane Dee,,
399,Spoonbread,,
400,Cake,https://en.wikipedia.org/wiki/Cake_(band),29.0
401,Doris Day,,
402,Carl Perkins,https://en.wikipedia.org/wiki/Carl_Perkins,38.0
403,Albert King,,
405,Bread,https://en.wikipedia.org/wiki/Bread_(band),24.0
406,Otis Rush,https://en.wikipedia.org/wiki/Otis_Rush,23.0
408,The Top Notes,,
409,Los Fabulosos Cadillacs,,
410,Chaka Demus & Pliers,,
411,The Isley Brothers,,
412,Liquido,https://en.wikipedia.org/wiki/Liquido,17.0
414,The Shangri-Las,,
415,Sergei Rachmaninoff,,
416,Eric Carmen,https://en.wikipedia.org/wiki/Eric_Carmen,36.0
417,Linda Imperial,,
418,Babes in Toyland,https://en.wikipedia.org/wiki/Babes_in_Toyland_(band),19.0
