"artist_id","common_name","wiki_url","genres"
"300","Dave Mason","https://en.wikipedia.org/wiki/Dave_Mason","Rock|pop rock|progressive rock|soft rock|[|1|]|[|2|]"
"302","Diamond Head","https://en.wikipedia.org/wiki/Diamond_Head_(British_band)","Heavy metal"
"302","Diamond Head","https://en.wikipedia.org/wiki/Brian_Tatler","Heavy metal"
"303","Blue Öyster Cult","https://en.wikipedia.org/wiki/Blue_Öyster_Cult","Hard rock|heavy metal|occult rock|psychedelic rock|progressive rock|acid rock"
"306","Motörhead","https://en.wikipedia.org/wiki/Motörhead","Heavy metal|hard rock|speed metal"
"307","Misfits","https://en.wikipedia.org/wiki/Misfits_(band)","Horror punk|hardcore punk|punk rock"
"316","Lisa Stansfield","https://en.wikipedia.org/wiki/Lisa_Stansfield","R&B|soul|blue-eyed soul|pop|dance"
"318","Laid Back","https://en.wikipedia.org/wiki/Laid_Back","Electro|synth-pop|post-disco|new wave"
"319","Frank Sinatra","https://en.wikipedia.org/wiki/Frank_Sinatra","Traditional pop|easy listening|jazz|swing|big band"
"320","Nat King Cole","https://en.wikipedia.org/wiki/Nat_King_Cole","R&B|jazz|traditional pop|easy listening"
"326","Carlos Santana","https://en.wikipedia.org/wiki/Carlos_Santana","Latin rock|blues rock|jazz fusion"
"330","David Gray","https://en.wikipedia.org/wiki/David_Gray_(British_musician)","Rock|alternative rock|folk rock|folktronica"
"331","Marvin Gaye","https://en.wikipedia.org/wiki/Marvin_Gaye","Soul|R&B|gospel|funk"
"334","The Verve","https://en.wikipedia.org/wiki/The_Verve","Neo-psychedelia|alternative rock|[|1|]|Britpop|[|2|]|shoegaze|(early)|[|3|]"
"344","Gloria Gaynor","https://en.wikipedia.org/wiki/Gloria_Gaynor","R&B|soul|disco|post-disco"
"347","""""Weird Al"""" Yankovic","https://en.wikipedia.org/wiki/""Weird_Al""_Yankovic","Comedy|parody|polka|geek rock|[|1|]"
"349","The Everly Brothers","https://en.wikipedia.org/wiki/The_Everly_Brothers","Country rock|rock and roll|rockabilly|country"
"353","Norah Jones","https://en.wikipedia.org/wiki/Norah_Jones","Pop|jazz|folk|country|blues|[|1|]"
"354","Ellie Greenwich","https://en.wikipedia.org/wiki/Ellie_Greenwich","Rock and roll|Brill Building"
"361","Pixies","https://en.wikipedia.org/wiki/Pixies_(band)","Alternative rock|indie rock|noise pop|punk rock|surf rock"
"363","The Surfaris","https://en.wikipedia.org/wiki/The_Surfaris","Surf rock"
"367","Marilyn Manson","https://en.wikipedia.org/wiki/Marilyn_Manson","Industrial rock|industrial metal|gothic rock|alternative metal|shock rock"
"368","Eurythmics","https://en.wikipedia.org/wiki/Eurythmics","Synth-pop|new wave|dance-rock"
"371","Faith Evans","https://en.wikipedia.org/wiki/Faith_Evans","R&B|hip hop|soul"
"372","King Crimson","https://en.wikipedia.org/wiki/King_Crimson","Progressive rock|art rock|experimental rock|post-progressive|new wave|industrial rock"
"374","Queen","https://en.wikipedia.org/wiki/Queen_(band)","Rock|pop"
"375","Pretty Maids","https://en.wikipedia.org/wiki/Pretty_Maids","Heavy metal|hard rock|glam metal"
