Original Genre,Mapped Genre
spirituals,Jazz/Blues
country,World/Other
bluegrass,World/Other
americana,World/Other
celtic,World/Other
irish folk,World/Other
balkan,World/Other
turkish folk,World/Other
brazilian,World/Other
arabic,World/Other
indian classical,Classical
jazz, Jazz/Blues
hip hop,Hip-Hop/Rap
pop,Pop
rock,Rock
electronic,Electronic/Dance
classical,Classical
world music,World/Other


