"artist_id","common_name","wiki_url","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"269","Donna Summer","https://en.wikipedia.org/wiki/Donna_Summer","disco","pop","rock","r&b","dance","eurodisco","funk","post-disco","hi-nrg","","","",""
"273","The Mamas and The Papas","https://en.wikipedia.org/wiki/The_Mamas_&_the_Papas","folk rock","sunshine pop","","","","","","","","","","",""
"275","Astrud Gilberto","https://en.wikipedia.org/wiki/Astrud_Gilberto","bossa nova","brazilian jazz","","","","","","","","","","",""
"276","Al Green","https://en.wikipedia.org/wiki/Al_Green","soul","r&b","gospel","southern soul","progressive soul","","","","","","","",""
"278","Isaac Hayes","https://en.wikipedia.org/wiki/Isaac_Hayes","progressive soul","funk","psychedelic soul","disco","","","","","","","","",""
"279","Jack Jones","https://en.wikipedia.org/wiki/Jack_Jones_(American_singer)","traditional pop","jazz","big band","","","","","","","","","",""
"281","Roky Erickson","https://en.wikipedia.org/wiki/Roky_Erickson","psychedelic rock","garage rock","acid rock","","","","","","","","","",""
"282","Robbie Williams","https://en.wikipedia.org/wiki/Robbie_Williams","pop","pop rock","soft rock","electronic dance","alternative rock","","","","","","","",""
"283","Chaka Khan","https://en.wikipedia.org/wiki/Chaka_Khan","r&b","soul","funk","pop","disco","jazz","gospel","","","","","",""
"285","LL Cool J","https://en.wikipedia.org/wiki/LL_Cool_J","east coast hip-hop","","","","","","","","","","","",""
"287","Poster Children","https://en.wikipedia.org/wiki/Poster_Children","alternative rock","indie rock","punk rock","post-hardcore","","","","","","","","",""
"291","The Police","https://en.wikipedia.org/wiki/The_Police","new wave","reggae rock","post-punk","pop rock","","","","","","","","",""
"293","Bad Company","https://en.wikipedia.org/wiki/Bad_Company","hard rock","blues rock","","","","","","","","","","",""
"294","Red Hot Chili Peppers","https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers","funk rock","alternative rock","rap rock","funk metal","","","","","","","","",""
"297","U2","https://en.wikipedia.org/wiki/U2","rock","alternative rock","pop rock","post-punk","","","","","","","","",""
"298","Grateful Dead","https://en.wikipedia.org/wiki/Grateful_Dead","rock","","","","","","","","","","","",""
"300","Dave Mason","https://en.wikipedia.org/wiki/Dave_Mason","rock","pop rock","progressive rock","soft rock","","","","","","","","",""
"302","Diamond Head","https://en.wikipedia.org/wiki/Diamond_Head_(British_band)","heavy metal","","","","","","","","","","","",""
"302","Diamond Head","https://en.wikipedia.org/wiki/Brian_Tatler","heavy metal","","","","","","","","","","","",""
"303","Blue Öyster Cult","https://en.wikipedia.org/wiki/Blue_Öyster_Cult","hard rock","heavy metal","occult rock","psychedelic rock","progressive rock","acid rock","","","","","","",""
"306","Motörhead","https://en.wikipedia.org/wiki/Motörhead","heavy metal","hard rock","speed metal","","","","","","","","","",""
"307","Misfits","https://en.wikipedia.org/wiki/Misfits_(band)","horror punk","hardcore punk","punk rock","","","","","","","","","",""
"316","Lisa Stansfield","https://en.wikipedia.org/wiki/Lisa_Stansfield","r&b","soul","blue-eyed soul","pop","dance","","","","","","","",""
"318","Laid Back","https://en.wikipedia.org/wiki/Laid_Back","electro","synth-pop","post-disco","new wave","","","","","","","","",""
"319","Frank Sinatra","https://en.wikipedia.org/wiki/Frank_Sinatra","traditional pop","easy listening","jazz","swing","big band","","","","","","","",""
"320","Nat King Cole","https://en.wikipedia.org/wiki/Nat_King_Cole","r&b","jazz","traditional pop","easy listening","","","","","","","","",""
"326","Carlos Santana","https://en.wikipedia.org/wiki/Carlos_Santana","latin rock","blues rock","jazz fusion","","","","","","","","","",""
"330","David Gray","https://en.wikipedia.org/wiki/David_Gray_(British_musician)","rock","alternative rock","folk rock","folktronica","","","","","","","","",""
"331","Marvin Gaye","https://en.wikipedia.org/wiki/Marvin_Gaye","soul","r&b","gospel","funk","","","","","","","","",""
"334","The Verve","https://en.wikipedia.org/wiki/The_Verve","neo-psychedelia","alternative rock","britpop","shoegaze","","","","","","","","",""
"344","Gloria Gaynor","https://en.wikipedia.org/wiki/Gloria_Gaynor","r&b","soul","disco","post-disco","","","","","","","","",""
"347","""""Weird Al"""" Yankovic","https://en.wikipedia.org/wiki/""Weird_Al""_Yankovic","comedy","parody","polka","geek rock","","","","","","","","",""
"349","The Everly Brothers","https://en.wikipedia.org/wiki/The_Everly_Brothers","country rock","rock and roll","rockabilly","country","","","","","","","","",""
"353","Norah Jones","https://en.wikipedia.org/wiki/Norah_Jones","pop","jazz","folk","country","blues","","","","","","","",""
"354","Ellie Greenwich","https://en.wikipedia.org/wiki/Ellie_Greenwich","rock and roll","brill building","","","","","","","","","","",""
"361","Pixies","https://en.wikipedia.org/wiki/Pixies_(band)","alternative rock","indie rock","noise pop","punk rock","surf rock","","","","","","","",""
"363","The Surfaris","https://en.wikipedia.org/wiki/The_Surfaris","surf rock","","","","","","","","","","","",""
"367","Marilyn Manson","https://en.wikipedia.org/wiki/Marilyn_Manson","industrial rock","industrial metal","gothic rock","alternative metal","shock rock","","","","","","","",""
"368","Eurythmics","https://en.wikipedia.org/wiki/Eurythmics","synth-pop","new wave","dance-rock","","","","","","","","","",""
"371","Faith Evans","https://en.wikipedia.org/wiki/Faith_Evans","r&b","hip hop","soul","","","","","","","","","",""
"372","King Crimson","https://en.wikipedia.org/wiki/King_Crimson","progressive rock","art rock","experimental rock","post-progressive","new wave","industrial rock","","","","","","",""
"374","Queen","https://en.wikipedia.org/wiki/Queen_(band)","rock","pop","","","","","","","","","","",""
"375","Pretty Maids","https://en.wikipedia.org/wiki/Pretty_Maids","heavy metal","hard rock","glam metal","","","","","","","","","",""
"377","Status Quo","https://en.wikipedia.org/wiki/Status_Quo_(band)","rock","boogie rock","hard rock","psychedelia","","","","","","","","",""
"378","Great White","https://en.wikipedia.org/wiki/Great_White","hard rock","glam metal","","","","","","","","","","",""
"380","The Kinks","https://en.wikipedia.org/wiki/The_Kinks","rock","pop","","","","","","","","","","",""
"382","Mott the Hoople","https://en.wikipedia.org/wiki/Mott_the_Hoople","glam rock","hard rock","","","","","","","","","","",""
"384","Bruce Dickinson","https://en.wikipedia.org/wiki/Bruce_Dickinson","heavy metal","","","","","","","","","","","",""
"387","Lenny Kravitz","https://en.wikipedia.org/wiki/Lenny_Kravitz","rock","funk","soul","","","","","","","","","",""
"390","The Stranglers","https://en.wikipedia.org/wiki/The_Stranglers","punk rock","pub rock","new wave","","","","","","","","","",""
"391","Hooverphonic","https://en.wikipedia.org/wiki/Hooverphonic","trip hop","electronica","indie pop","alternative","dream pop","","","","","","","",""
"393","Laibach","https://en.wikipedia.org/wiki/Laibach","industrial","avant-garde","experimental","martial industrial","neoclassical dark wave","electronic","electro-industrial","","","","","",""
"394","10cc","https://en.wikipedia.org/wiki/10cc","art rock","art pop","progressive pop","soft rock","pop rock","","","","","","","",""
"400","Cake","https://en.wikipedia.org/wiki/Cake_(band)","alternative rock","country","indie rock","funk rock","","","","","","","","",""
"402","Carl Perkins","https://en.wikipedia.org/wiki/Carl_Perkins","rockabilly","rock and roll","country","","","","","","","","","",""
"405","Bread","https://en.wikipedia.org/wiki/Bread_(band)","soft rock","","","","","","","","","","","",""
"406","Otis Rush","https://en.wikipedia.org/wiki/Otis_Rush","blues","chicago blues","r&b","","","","","","","","","",""
"412","Liquido","https://en.wikipedia.org/wiki/Liquido","rock","","","","","","","","","","","",""
"416","Eric Carmen","https://en.wikipedia.org/wiki/Eric_Carmen","pop rock","power pop","soft rock","","","","","","","","","",""
"418","Babes in Toyland","https://en.wikipedia.org/wiki/Babes_in_Toyland_(band)","alternative rock","punk rock","grunge","heavy metal","","","","","","","","",""
"419","Michael Ball","https://en.wikipedia.org/wiki/Michael_Ball","pop","soft rock","musical theatre","easy listening","","","","","","","","",""
"423","Celine Dion","https://en.wikipedia.org/wiki/Celine_Dion","pop","chanson","soft rock","","","","","","","","","",""
"424","Jewel","https://en.wikipedia.org/wiki/Jewel_(singer)","folk","pop","pop rock","country","","","","","","","","",""
"438","Bart Peeters","https://en.wikipedia.org/wiki/Bart_Peeters","","","","","","","","","","","","",""
"440","Erasure","https://en.wikipedia.org/wiki/Erasure_(duo)","synth-pop","dance-pop","hi-nrg","disco","","","","","","","","",""
"449","UB40","https://en.wikipedia.org/wiki/UB40","reggae","dub","","","","","","","","","","",""
"451","Chrissie Hynde","https://en.wikipedia.org/wiki/Chrissie_Hynde","rock","new wave","punk rock","","","","","","","","","",""
"456","A Tribe Called Quest","https://en.wikipedia.org/wiki/A_Tribe_Called_Quest","east coast hip-hop","jazz rap","alternative hip-hop","progressive rap","","","","","","","","",""
"457","Duran Duran","https://en.wikipedia.org/wiki/Duran_Duran","pop rock","synth-pop","new wave","new pop","dance-rock","post-disco","","","","","","",""
"461","Frankie Goes To Hollywood","https://en.wikipedia.org/wiki/Frankie_Goes_to_Hollywood","hi-nrg","disco","dance-pop","new wave","","","","","","","","",""
"461","Frankie Goes To Hollywood","https://en.wikipedia.org/wiki/Mark_O'Toole_(musician)","hi-nrg","disco","dance-pop","new wave","","","","","","","","",""
"462","Joan Osborne","https://en.wikipedia.org/wiki/Joan_Osborne","rock","folk","country rock","blues","r&b","","","","","","","",""
"465","Will Tura","https://en.wikipedia.org/wiki/Will_Tura","levenslied","pop rock","rock and roll","soul","gospel","country","schlager","","","","","",""
"466","Adamo","https://en.wikipedia.org/wiki/Salvatore_Adamo","chanson","pop","nueva ola","","","","","","","","","",""
"467","Arno","https://en.wikipedia.org/wiki/Arno_(singer)","","","","","","","","","","","","",""
"470","Massive Attack","https://en.wikipedia.org/wiki/Massive_Attack","trip hop","electronic","","","","","","","","","","",""
"474","Labi Siffre","https://en.wikipedia.org/wiki/Labi_Siffre","soul","jazz","funk","soft rock","folk","","","","","","","",""
"477","St. Germain","https://en.wikipedia.org/wiki/St_Germain_(musician)","house","deep house","jazz house","nu jazz","groove jazz","","","","","","","",""
"479","Beastie Boys","https://en.wikipedia.org/wiki/Beastie_Boys","hip-hop","rap rock","alternative hip-hop","hardcore punk","","","","","","","","",""
"482","Kraftwerk","https://en.wikipedia.org/wiki/Kraftwerk","electronic","synth-pop","krautrock","","","","","","","","","",""
"483","The Notorious B.I.G.","https://en.wikipedia.org/wiki/The_Notorious_B.I.G.","east coast hip-hop","mafioso rap","hardcore hip-hop","","","","","","","","","",""
"484","Van Halen","https://en.wikipedia.org/wiki/Van_Halen","hard rock","heavy metal","pop rock","arena rock","glam metal","","","","","","","",""
"487","Crazy Town","https://en.wikipedia.org/wiki/Crazy_Town","rap rock","hip-hop","nu metal","rap metal","alternative rock","","","","","","","",""
"488","Roberta Flack","https://en.wikipedia.org/wiki/Roberta_Flack","jazz","soul","r&b","","","","","","","","","",""
"498","Engelbert Humperdinck","https://en.wikipedia.org/wiki/Engelbert_Humperdinck_(singer)","traditional pop","easy listening","schlager","","","","","","","","","",""
"499","Cleo Laine","https://en.wikipedia.org/wiki/Cleo_Laine","jazz","pop","","","","","","","","","","",""
"500","Sérgio Mendes","https://en.wikipedia.org/wiki/Sérgio_Mendes","bossa nova","latin","latin jazz","jazz","disco","adult contemporary","soft rock","","","","","",""
"502","Das Pop","https://en.wikipedia.org/wiki/Das_Pop","indie pop","pop rock","","","","","","","","","","",""
"503","Warren G","https://en.wikipedia.org/wiki/Warren_G","west coast hip-hop","gangsta rap","g-funk","","","","","","","","","",""
"507","Desireless","https://en.wikipedia.org/wiki/Desireless","pop","synth-pop","euro disco","","","","","","","","","",""
"509","Creedence Clearwater Revival","https://en.wikipedia.org/wiki/Creedence_Clearwater_Revival","swamp rock","roots rock","blues rock","country rock","southern rock","","","","","","","",""
"512","John Fogerty","https://en.wikipedia.org/wiki/John_Fogerty","roots rock","rock and roll","country rock","heartland rock","blues rock","swamp rock","americana","southern rock","","","","",""
